Year,Month,UniqueCarrier,CarrierName,TotalAircrafts,TotalFlights,TotalDistance,AvgDistancePerDay,AvgFlightsPerDay,TotalAirTime,TotalTravelTime,TimeOnGround,PctTimeOnGround
2001,Apr,WN,Southwest Airlines Co.,352,79095,40357438,3906.33,7.68,237159.31317138672,306473.8324584961,269720.6868286133,53
2001,May,AA,American Airlines Inc.,667,64075,65627531,3639.35,3.47,376240.1994934082,437946.4422454834,584239.8002221584,61
2001,May,AQ,Aloha Airlines Inc.,21,5635,1275722,2296.92,10.02,10122.563934326172,15443.735229492188,20117.43603515625,67
2001,May,AS,Alaska Airlines Inc.,99,13598,10360167,3629.98,4.78,57979.93572998047,79389.07348632812,84580.06433105469,59
2001,May,CO,Continental Air Lines Inc.,359,33286,33957896,3481.45,3.34,198846.13299560547,238815.2042953968,318113.8669433594,62
2001,May,DL,Delta Air Lines Inc.,587,73793,55985835,3395.80,4.40,329423.1345062256,459578.9394836426,515856.86518859863,61
2001,May,HP,America West Airlines Inc.,140,18282,16187679,3991.15,4.59,88622.58612060547,112984.12353515625,112977.41394042969,56
2001,May,MQ,Envoy Air,240,43282,11407729,1652.88,6.28,111516.91310119629,182522.69319152832,234083.08624267578,68
2001,May,NW,Northwest Airlines Inc.,379,47345,34144123,3314.80,4.42,213108.34146118164,295669.03730773926,332651.65802001953,61
2001,May,TW,Trans World Airways LLC,175,21909,17871947,3634.64,4.39,104446.89889526367,132752.49633789062,147553.10119628906,59
2001,May,UA,United Air Lines Inc.,584,63938,60360110,3848.20,3.96,343616.00689697266,416844.47271728516,497343.9928588867,59
2001,May,US,US Airways Inc.,416,63437,38573212,3259.88,5.28,245933.89010620117,339576.26625061035,353106.1101074219,59
2001,May,WN,Southwest Airlines Co.,353,81360,41549938,3901.75,7.68,236532.37426757812,306377.89459228516,271787.6257324219,53
2001,Jun,AA,American Airlines Inc.,660,62691,64172479,3669.86,3.51,371400.55586242676,430603.2396764755,578999.44389534,61
2001,Jun,AQ,Aloha Airlines Inc.,22,5782,1429698,2363.06,9.97,10688.304016113281,16247.807586669922,20991.696044921875,66
2001,Jun,AS,Alaska Airlines Inc.,100,14100,11012467,3851.11,4.95,61429.282958984375,83072.0650024414,82570.71704101562,57
2001,Jun,CO,Continental Air Lines Inc.,361,32631,33583787,3560.72,3.39,201071.14038085938,235874.58191609383,318768.8594970703,61
2001,Jun,DL,Delta Air Lines Inc.,594,72066,55683414,3442.38,4.39,336734.32734680176,472743.19624328613,518625.67289733887,61
2001,Jun,HP,America West Airlines Inc.,138,17923,15976790,4031.81,4.58,87565.115234375,109916.82702636719,111154.884765625,56
2001,Jun,MQ,Envoy Air,240,41830,11094527,1640.44,6.18,108866.11694335938,177637.87908935547,236733.8837890625,68
