Year,UniqueCarrier,CarrierName,TotalAircrafts,TotalFlights,TotalDistance,AvgDistancePerDay,AvgFlightsPerDay,TotalAirTime,TotalTravelTime,TimeOnGround,PctTimeOnGround,PctEfficiency,Month
2006,EV,ExpressJet Airlines Inc.,1853,273143,134767125,2536.72,5.15,924438.1903839111,1511565.6704711914,1743881.810180664,65,35,"Total"
2006,F9,Frontier Airlines Inc.,633,90181,79275188,4286.50,4.87,430443.0394592285,565275.1830444336,481076.96057128906,53,47,"Total"
2006,FL,AirTran Airways Corporation,1397,237645,154760543,3724.92,5.71,929145.9197998047,1217465.1936645508,1082534.0802001953,54,46,"Total"
2006,HA,Hawaiian Airlines Inc.,304,51920,30514781,3539.04,6.13,169045.1530456543,216415.89321899414,268714.8469238281,61,39,"Total"
2006,MQ,Envoy Air,3101,530098,218352809,2452.57,5.98,1653380.259048462,2440874.3701171875,2812059.7421875,63,37,"Total"
2006,NW,Northwest Airlines Inc.,3772,432836,330943150,3202.58,4.09,2056895.6646347046,2782152.9935131073,3374784.3358459473,62,38,"Total"
2006,OH,Comair Inc.,2002,273992,129798672,2300.07,4.86,964245.451751709,1492366.841949463,1918634.5482788086,67,33,"Total"
2006,OO,SkyWest Airlines Inc.,2933,535266,212151278,2516.43,6.41,1574568.3948669434,2355150.5749816895,2648951.605407715,63,37,"Total"
2006,TZ,ATA Airlines d/b/a ATA,275,19602,28193870,4321.01,2.94,171082.96868896484,174026.68951416016,224917.03143310547,57,43,"Total"
2006,UA,United Air Lines Inc.,5332,500008,548162230,3851.65,3.47,3101893.340652466,3576628.10601902,4576186.658935547,60,40,"Total"
2006,US,US Airways Inc.,4352,501104,422709197,3518.93,4.15,2528976.626083374,3259185.460472107,3737903.373901367,60,40,"Total"
2006,WN,Southwest Airlines Co.,5527,1090370,678716767,4156.73,6.71,3824821.3203125,4758210.807189941,4134058.679748535,52,48,"Total"
2006,XE,ExpressJet Airlines Inc.,3268,431754,231948162,2453.14,4.56,1632175.3450927734,2364972.674468994,3073744.6563720703,65,35,"Total"
2006,YV,Mesa Airlines Inc.,1684,304763,124120871,2587.98,6.37,923055.6004714966,1464441.7143859863,1501904.3996582031,62,38,"Total"
2007,9E,Endeavor Air Inc.,1659,250916,113396117,2343.77,5.19,839745.5581665039,1311828.9541015625,1549214.4415283203,65,35,"Total"
2007,AA,American Airlines Inc.,7932,615933,658021009,3384.18,3.05,4156100.5827178955,4849358.593755722,7265979.416687012,64,36,"Total"
2007,AQ,Aloha Airlines Inc.,234,46066,19797287,3114.15,7.87,127487.65121459961,181764.61865234375,209472.34887695312,62,38,"Total"
2007,AS,Alaska Airlines Inc.,1334,160176,143152589,3816.43,4.30,810807.1192016602,1067993.1115112305,1110152.8802261353,58,42,"Total"
2007,B6,JetBlue Airways,1547,188157,210921919,4730.69,4.24,1180455.7512817383,1253652.5276489258,1047224.2486572266,47,53,"Total"
2007,CO,Continental Air Lines Inc.,4094,320200,366859373,3459.73,2.92,2257768.6117248535,2536530.3932833076,3637591.3881835938,62,38,"Total"
2007,DL,Delta Air Lines Inc.,5101,475889,447856024,3303.20,3.47,2746662.689933777,3423198.1061935425,4598777.308929443,63,37,"Total"
2007,EV,ExpressJet Airlines Inc.,1905,286234,136346293,2509.89,5.27,943430.8244476318,1528027.1972503662,1799769.175354004,66,34,"Total"
2007,F9,Frontier Airlines Inc.,706,97760,87466490,4254.26,4.75,482255.5563354492,632664.0662841797,534384.4436645508,53,47,"Total"
2007,FL,AirTran Airways Corporation,1611,263159,182646240,3793.14,5.47,1062418.1875305176,1373900.1201171875,1257421.8124389648,54,46,"Total"
2007,HA,Hawaiian Airlines Inc.,342,55937,35299160,3712.32,5.93,196589.59692382812,244424.4794921875,295890.40295410156,60,40,"Total"
2007,MQ,Envoy Air,3089,517702,215226675,2439.94,5.89,1646271.9557495117,2427988.2384643555,2801888.043029785,63,37,"Total"
2007,NW,Northwest Airlines Inc.,3828,414526,318162390,3173.48,3.92,2084578.4902114868,2761823.629027605,3427741.5097961426,62,38,"Total"
2007,OH,Comair Inc.,1655,227102,109284024,2343.93,4.87,849423.695892334,1271408.8031311035,1533776.3046875,64,36,"Total"
2007,OO,SkyWest Airlines Inc.,3246,583699,249614200,2664.31,6.28,1836843.605316162,2655669.514175415,2837396.3942871094,61,39,"Total"
2007,UA,United Air Lines Inc.,5236,490002,529872242,3806.14,3.46,3037119.680404663,3477030.924928665,4502720.320350647,60,40,"Total"
2007,US,US Airways Inc.,4251,477388,400384514,3450.06,4.08,2473535.1820220947,3160801.0542812347,3647904.81842041,60,40,"Total"
2007,WN,Southwest Airlines Co.,5966,1158878,729938727,4181.28,6.68,4169511.609954834,5144819.722595215,4421528.390075684,51,49,"Total"
2007,XE,ExpressJet Airlines Inc.,3235,423895,237155396,2601.40,4.63,1654926.4691314697,2393143.5414886475,3002033.530151367,64,36,"Total"
2007,YV,Mesa Airlines Inc.,1577,294357,115403270,2573.10,6.57,867187.6286201477,1387155.0782957077,1403692.3728637695,62,38,"Total"
