Year,UniqueCarrier,CarrierName,TotalAircrafts,TotalFlightsPerCraft,TotalFlights,TotalDistance,TotalAirTimePerCraft,DaysFlownPerCraft,AvgAirTimePerDay,AvgFlightsPerDay,TotalAirTime,cancelled,Month
2003,US,US Airways Inc.,7,3373.00,3373.00,1539648,0.00,199.00,0.00,16.74,0.00,1,Total
2003,UA,United Air Lines Inc.,6383,965.96,538038.00,559897793,154627.25,286.27,511.30,3.14,86127376.00,0,Total
2003,UA,United Air Lines Inc.,185,40.54,5919.00,5497660,0.00,3.51,0.00,2.04,0.00,1,Total
2003,TZ,ATA Airlines d/b/a ATA,667,1051.09,68321.00,78189701,183787.45,271.02,673.06,3.84,11946184.00,0,Total
2003,TZ,ATA Airlines d/b/a ATA,323,14.22,853.00,785607,0.00,9.23,0.00,1.52,0.00,1,Total
2003,OO,SkyWest Airlines Inc.,2051,2011.86,390300.00,128294128,290338.87,299.23,963.78,6.72,56325740.00,0,Total
2003,OO,SkyWest Airlines Inc.,57,113.36,3741.00,1039488,18.33,8.36,8.55,3.55,605.00,1,Total
2003,NW,Northwest Airlines Inc.,4617,1110.46,493046.00,365032807,141867.74,274.93,520.10,3.92,62989278.00,0,Total
2003,NW,Northwest Airlines Inc.,2249,15.84,6114.00,3506254,0.00,10.61,0.00,1.51,0.00,1,Total
2003,MQ,Envoy Air,2437,1688.72,415425.00,138757849,134952.43,273.99,487.83,6.11,33198299.00,0,Total
2003,MQ,Envoy Air,7,7329.00,7329.00,2475454,0.00,212.00,0.00,34.62,0.00,1,Total
2003,HP,America West Airlines Inc.,1676,1302.33,187536.00,187232106,201650.70,331.32,604.47,3.92,29037701.00,0,Total
2003,HP,America West Airlines Inc.,766,13.54,1977.00,1999977,0.00,8.87,0.00,1.56,0.00,1,Total
2003,HA,Hawaiian Airlines Inc.,53,288.67,7794.00,4773152,27213.85,51.07,518.98,6.16,734774.00,0,Total
2003,HA,Hawaiian Airlines Inc.,2,37.00,37.00,3393,0.00,14.00,0.00,2.53,0.00,1,Total
2003,FL,AirTran Airways Corporation,865,1538.56,143086.00,85328484,174362.11,268.96,640.80,5.67,16215676.00,0,Total
2003,FL,AirTran Airways Corporation,473,19.21,1614.00,922591,0.00,10.31,0.00,1.82,0.00,1,Total
2003,EV,ExpressJet Airlines Inc.,1607,1649.43,267207.00,108747417,143948.36,275.76,514.52,5.92,23319635.00,0,Total
2003,EV,ExpressJet Airlines Inc.,1301,41.30,6484.00,2471686,0.00,23.31,0.00,1.75,0.00,1,Total
2003,DL,Delta Air Lines Inc.,6330,1165.19,653674.00,528299233,158343.06,297.15,517.97,3.78,88830456.00,0,Total
2003,DL,Delta Air Lines Inc.,2679,12.81,6842.00,4858461,0.00,8.96,0.00,1.37,0.00,1,Total
2003,DH,Independence Air,1722,1870.59,280588.00,100814186,157392.15,324.33,481.49,5.74,23608822.00,0,Total
2003,DH,Independence Air,1564,73.38,11007.00,3715705,9.16,36.71,0.13,1.91,1374.00,1,Total
2003,CO,Continental Air Lines Inc.,4179,823.02,300403.00,325497189,140513.42,285.05,484.04,2.76,51287400.00,0,Total
2003,CO,Continental Air Lines Inc.,6,1194.00,1194.00,990042,0.00,111.00,0.00,10.48,0.00,1,Total
2003,B6,JetBlue Airways,539,1214.87,66818.00,85173773,228291.42,283.29,801.48,4.27,12556028.00,0,Total
2003,B6,JetBlue Airways,5,100.00,100.00,146481,0.00,14.00,0.00,5.71,0.00,1,Total
2003,AS,Alaska Airlines Inc.,1284,1399.21,158111.00,132073953,186741.19,317.13,586.22,4.41,21101754.00,0,Total
2003,AS,Alaska Airlines Inc.,12,3483.00,3483.00,2526607,0.00,356.00,0.00,9.80,0.00,1,Total
2003,AA,American Airlines Inc.,9278,812.47,740161.00,773369262,133892.05,249.46,516.90,3.08,121975656.00,0,Total
2003,AA,American Airlines Inc.,7,6420.00,6420.00,6140169,0.00,208.00,0.00,30.96,0.00,1,Total
2004,XE,ExpressJet Airlines Inc.,2823,1475.92,361600.00,187195007,156841.19,330.71,473.78,4.46,38426092.00,0,Total
2004,XE,ExpressJet Airlines Inc.,12,6103.00,6103.00,2523247,0.00,278.00,0.00,21.51,0.00,1,Total
2004,WN,Southwest Airlines Co.,4829,1614.99,980301.00,565371201,157940.66,232.14,678.95,6.96,95869979.00,0,Total
2004,WN,Southwest Airlines Co.,12,10103.00,10103.00,4700501,0.00,362.00,0.00,27.83,0.00,1,Total
2004,US,US Airways Inc.,3483,1267.30,413140.00,281277777,151484.55,290.14,512.96,4.26,49383962.00,0,Total
2004,US,US Airways Inc.,12,6779.00,6779.00,3470732,0.00,356.00,0.00,18.88,0.00,1,Total
2004,UA,United Air Lines Inc.,6185,1034.40,549264.00,586030035,171254.79,291.98,550.58,3.28,90936292.00,0,Total
